code,year,gender,e0
GBR_NIR,1948,total,66.3
GBR_NIR,1949,total,66.54
GBR_NIR,1950,total,67.02
GBR_NIR,1951,total,66.1
GBR_NIR,1952,total,68.33
GBR_NIR,1953,total,68.59
GBR_NIR,1954,total,69.1
GBR_NIR,1955,total,69.08
GBR_NIR,1956,total,69.95
GBR_NIR,1957,total,69.64
GBR_NIR,1958,total,70.07
GBR_NIR,1959,total,69.94
GBR_NIR,1960,total,70.03
GBR_NIR,1961,total,69.84
GBR_NIR,1962,total,70.57
GBR_NIR,1963,total,70.08
GBR_NIR,1964,total,70.72
GBR_NIR,1965,total,70.77
GBR_NIR,1966,total,70.26
GBR_NIR,1967,total,71.69
GBR_NIR,1968,total,71.03
GBR_NIR,1969,total,70.68
GBR_NIR,1970,total,70.7
GBR_NIR,1971,total,71.18
GBR_NIR,1972,total,70.47
GBR_NIR,1973,total,69.93
GBR_NIR,1974,total,70.38
GBR_NIR,1975,total,70.98
GBR_NIR,1976,total,70.85
GBR_NIR,1977,total,71.16
GBR_NIR,1978,total,71.86
GBR_NIR,1979,total,71.65
GBR_NIR,1980,total,71.81
GBR_NIR,1981,total,72.51
GBR_NIR,1982,total,72.82
GBR_NIR,1983,total,73.1
GBR_NIR,1984,total,73.59
GBR_NIR,1985,total,73.62
GBR_NIR,1986,total,73.81
GBR_NIR,1987,total,74.46
GBR_NIR,1988,total,74.22
GBR_NIR,1989,total,74.7
GBR_NIR,1990,total,75.02
GBR_NIR,1991,total,75.4
GBR_NIR,1992,total,75.87
GBR_NIR,1993,total,75.49
GBR_NIR,1994,total,76.02
GBR_NIR,1995,total,76.04
GBR_NIR,1996,total,76.58
GBR_NIR,1997,total,76.87
GBR_NIR,1998,total,77.04
GBR_NIR,1999,total,76.76
GBR_NIR,2000,total,77.41
GBR_NIR,2001,total,77.89
GBR_NIR,2002,total,77.94
GBR_NIR,2003,total,78.37
GBR_NIR,2004,total,78.48
GBR_NIR,2005,total,78.67
GBR_NIR,2006,total,78.7
GBR_NIR,2007,total,78.89
GBR_NIR,2008,total,78.93
GBR_NIR,2009,total,79.41
GBR_NIR,2010,total,79.51
GBR_NIR,2011,total,80.2
GBR_NIR,2012,total,80.22
GBR_NIR,2013,total,80.23
GBR_NIR,2014,total,80.56
GBR_NIR,2015,total,80.23
GBR_NIR,2016,total,80.58
GBR_NP,1922,total,57.02
GBR_NP,1923,total,59.3
GBR_NP,1924,total,58.07
GBR_NP,1925,total,58.42
GBR_NP,1926,total,59.56
GBR_NP,1927,total,58.95
GBR_NP,1928,total,59.91
GBR_NP,1929,total,57.62
GBR_NP,1930,total,60.77
GBR_NP,1931,total,60
GBR_NP,1932,total,60.52
GBR_NP,1933,total,60.58
GBR_NP,1934,total,61.3
GBR_NP,1935,total,61.96
GBR_NP,1936,total,61.75
GBR_NP,1937,total,61.79
GBR_NP,1938,total,63.23
GBR_NP,1939,total,63.61
GBR_NP,1940,total,60.9
GBR_NP,1941,total,61.29
GBR_NP,1942,total,63.98
GBR_NP,1943,total,64.04
GBR_NP,1944,total,64.8
GBR_NP,1945,total,65.76
GBR_NP,1946,total,66.24
GBR_NP,1947,total,66.44
GBR_NP,1948,total,68.37
GBR_NP,1949,total,68.11
GBR_NP,1950,total,68.63
GBR_NP,1951,total,68.24
GBR_NP,1952,total,69.53
GBR_NP,1953,total,69.8
GBR_NP,1954,total,70.17
GBR_NP,1955,total,70.13
GBR_NP,1956,total,70.4
GBR_NP,1957,total,70.52
GBR_NP,1958,total,70.7
GBR_NP,1959,total,70.83
GBR_NP,1960,total,71.02
GBR_NP,1961,total,70.79
GBR_NP,1962,total,70.86
GBR_NP,1963,total,70.76
GBR_NP,1964,total,71.54
GBR_NP,1965,total,71.52
GBR_NP,1966,total,71.44
GBR_NP,1967,total,72.08
GBR_NP,1968,total,71.69
GBR_NP,1969,total,71.67
GBR_NP,1970,total,71.88
GBR_NP,1971,total,72.24
GBR_NP,1972,total,71.99
GBR_NP,1973,total,72.19
GBR_NP,1974,total,72.38
GBR_NP,1975,total,72.65
GBR_NP,1976,total,72.64
GBR_NP,1977,total,73.11
GBR_NP,1978,total,73.05
GBR_NP,1979,total,73.16
GBR_NP,1980,total,73.59
GBR_NP,1981,total,73.92
GBR_NP,1982,total,74.04
GBR_NP,1983,total,74.3
GBR_NP,1984,total,74.68
GBR_NP,1985,total,74.54
GBR_NP,1986,total,74.8
GBR_NP,1987,total,75.15
GBR_NP,1988,total,75.26
GBR_NP,1989,total,75.4
GBR_NP,1990,total,75.74
GBR_NP,1991,total,75.91
GBR_NP,1992,total,76.31
GBR_NP,1993,total,76.16
GBR_NP,1994,total,76.72
GBR_NP,1995,total,76.62
GBR_NP,1996,total,76.88
GBR_NP,1997,total,77.14
GBR_NP,1998,total,77.28
GBR_NP,1999,total,77.38
GBR_NP,2000,total,77.86
GBR_NP,2001,total,78.13
GBR_NP,2002,total,78.24
GBR_NP,2003,total,78.34
GBR_NP,2004,total,78.91
GBR_NP,2005,total,79.12
GBR_NP,2006,total,79.36
GBR_NP,2007,total,79.55
GBR_NP,2008,total,79.67
GBR_NP,2009,total,80.17
GBR_NP,2010,total,80.4
GBR_NP,2011,total,80.8
GBR_NP,2012,total,80.86
GBR_NP,2013,total,80.93
GBR_NP,2014,total,81.16
GBR_NP,2015,total,80.91
GBR_NP,2016,total,81.04
GBR_SCO,1855,total,42.98
GBR_SCO,1856,total,44.32
GBR_SCO,1857,total,43.51
GBR_SCO,1858,total,43.05
GBR_SCO,1859,total,43.87
GBR_SCO,1860,total,41.49
GBR_SCO,1861,total,44.03
GBR_SCO,1862,total,42.58
GBR_SCO,1863,total,40.67
GBR_SCO,1864,total,40.18
GBR_SCO,1865,total,41.96
GBR_SCO,1866,total,42.29
GBR_SCO,1867,total,43.57
GBR_SCO,1868,total,43.41
GBR_SCO,1869,total,41.18
GBR_SCO,1870,total,41.84
GBR_SCO,1871,total,41.47
GBR_SCO,1872,total,41.75
GBR_SCO,1873,total,42.11
GBR_SCO,1874,total,40.59
GBR_SCO,1875,total,40.93
GBR_SCO,1876,total,43.74
GBR_SCO,1877,total,44.52
GBR_SCO,1878,total,43.57
GBR_SCO,1879,total,45.28
GBR_SCO,1880,total,43.89
GBR_SCO,1881,total,45.46
GBR_SCO,1882,total,45.23
GBR_SCO,1883,total,44.42
GBR_SCO,1884,total,45.06
GBR_SCO,1885,total,45.66
GBR_SCO,1886,total,46.33
GBR_SCO,1887,total,45.89
GBR_SCO,1888,total,47.43
GBR_SCO,1889,total,46.52
GBR_SCO,1890,total,44.48
GBR_SCO,1891,total,43.95
GBR_SCO,1892,total,46.31
GBR_SCO,1893,total,44.83
GBR_SCO,1894,total,48.08
GBR_SCO,1895,total,45.1
GBR_SCO,1896,total,48.7
GBR_SCO,1897,total,46.33
GBR_SCO,1898,total,46.66
GBR_SCO,1899,total,46.86
GBR_SCO,1900,total,46.43
GBR_SCO,1901,total,46.73
GBR_SCO,1902,total,48.23
GBR_SCO,1903,total,48.99
GBR_SCO,1904,total,48.48
GBR_SCO,1905,total,49.71
GBR_SCO,1906,total,49.75
GBR_SCO,1907,total,49.46
GBR_SCO,1908,total,49.18
GBR_SCO,1909,total,50.69
GBR_SCO,1910,total,51.29
GBR_SCO,1911,total,51.5
GBR_SCO,1912,total,51.65
GBR_SCO,1913,total,51.5
GBR_SCO,1914,total,51.35
GBR_SCO,1915,total,48.92
GBR_SCO,1916,total,52.73
GBR_SCO,1917,total,52.62
GBR_SCO,1918,total,48.87
GBR_SCO,1919,total,50.8
GBR_SCO,1920,total,53.96
GBR_SCO,1921,total,55.92
GBR_SCO,1922,total,53.66
GBR_SCO,1923,total,57.33
GBR_SCO,1924,total,54.66
GBR_SCO,1925,total,56.32
GBR_SCO,1926,total,57.19
GBR_SCO,1927,total,56.78
GBR_SCO,1928,total,56.86
GBR_SCO,1929,total,55.84
GBR_SCO,1930,total,57.54
GBR_SCO,1931,total,58.04
GBR_SCO,1932,total,57.56
GBR_SCO,1933,total,58.61
GBR_SCO,1934,total,58.78
GBR_SCO,1935,total,59.34
GBR_SCO,1936,total,58.84
GBR_SCO,1937,total,58.82
GBR_SCO,1938,total,60.69
GBR_SCO,1939,total,61.17
GBR_SCO,1940,total,58.52
GBR_SCO,1941,total,57.64
GBR_SCO,1942,total,60.37
GBR_SCO,1943,total,60.25
GBR_SCO,1944,total,61.2
GBR_SCO,1945,total,63.03
GBR_SCO,1946,total,63.11
GBR_SCO,1947,total,63.39
GBR_SCO,1948,total,65.55
GBR_SCO,1949,total,65.66
GBR_SCO,1950,total,66.21
GBR_SCO,1951,total,66.33
GBR_SCO,1952,total,67.36
GBR_SCO,1953,total,68.19
GBR_SCO,1954,total,68.1
GBR_SCO,1955,total,68.26
GBR_SCO,1956,total,68.65
GBR_SCO,1957,total,68.68
GBR_SCO,1958,total,68.84
GBR_SCO,1959,total,68.83
GBR_SCO,1960,total,69.19
GBR_SCO,1961,total,69.08
GBR_SCO,1962,total,69.15
GBR_SCO,1963,total,68.96
GBR_SCO,1964,total,69.83
GBR_SCO,1965,total,69.72
GBR_SCO,1966,total,69.73
GBR_SCO,1967,total,70.65
GBR_SCO,1968,total,70.18
GBR_SCO,1969,total,70.17
GBR_SCO,1970,total,70.34
GBR_SCO,1971,total,70.82
GBR_SCO,1972,total,70.55
GBR_SCO,1973,total,70.65
GBR_SCO,1974,total,70.74
GBR_SCO,1975,total,71.22
GBR_SCO,1976,total,71.21
GBR_SCO,1977,total,71.65
GBR_SCO,1978,total,71.45
GBR_SCO,1979,total,71.52
GBR_SCO,1980,total,72.15
GBR_SCO,1981,total,72.34
GBR_SCO,1982,total,72.34
GBR_SCO,1983,total,72.77
GBR_SCO,1984,total,72.99
GBR_SCO,1985,total,73.03
GBR_SCO,1986,total,73.26
GBR_SCO,1987,total,73.6
GBR_SCO,1988,total,73.69
GBR_SCO,1989,total,73.5
GBR_SCO,1990,total,74.12
GBR_SCO,1991,total,74.35
GBR_SCO,1992,total,74.54
GBR_SCO,1993,total,74.26
GBR_SCO,1994,total,75.02
GBR_SCO,1995,total,74.98
GBR_SCO,1996,total,74.99
GBR_SCO,1997,total,75.42
GBR_SCO,1998,total,75.5
GBR_SCO,1999,total,75.54
GBR_SCO,2000,total,75.98
GBR_SCO,2001,total,76.17
GBR_SCO,2002,total,76.16
GBR_SCO,2003,total,76.37
GBR_SCO,2004,total,76.89
GBR_SCO,2005,total,77.14
GBR_SCO,2006,total,77.37
GBR_SCO,2007,total,77.39
GBR_SCO,2008,total,77.66
GBR_SCO,2009,total,78.23
GBR_SCO,2010,total,78.48
GBR_SCO,2011,total,78.72
GBR_SCO,2012,total,78.86
GBR_SCO,2013,total,79.1
GBR_SCO,2014,total,79.37
GBR_SCO,2015,total,79.03
GBR_SCO,2016,total,79.03
GBRCENW,1841,total,41.62
GBRCENW,1842,total,41.3
GBRCENW,1843,total,41.81
GBRCENW,1844,total,41.49
GBRCENW,1845,total,42.49
GBRCENW,1846,total,39.91
GBRCENW,1847,total,38.29
GBRCENW,1848,total,39.46
GBRCENW,1849,total,37.34
GBRCENW,1850,total,42.75
GBRCENW,1851,total,41.36
GBRCENW,1852,total,40.87
GBRCENW,1853,total,40.51
GBRCENW,1854,total,39.3
GBRCENW,1855,total,40.99
GBRCENW,1856,total,43.21
GBRCENW,1857,total,41.84
GBRCENW,1858,total,39.99
GBRCENW,1859,total,40.77
GBRCENW,1860,total,42.94
GBRCENW,1861,total,42.31
GBRCENW,1862,total,42.47
GBRCENW,1863,total,40.36
GBRCENW,1864,total,39.93
GBRCENW,1865,total,40.62
GBRCENW,1866,total,40.38
GBRCENW,1867,total,42.58
GBRCENW,1868,total,41.97
GBRCENW,1869,total,41.62
GBRCENW,1870,total,40.91
GBRCENW,1871,total,41.28
GBRCENW,1872,total,42.87
GBRCENW,1873,total,43.74
GBRCENW,1874,total,42.07
GBRCENW,1875,total,41.81
GBRCENW,1876,total,43.65
GBRCENW,1877,total,44.67
GBRCENW,1878,total,42.98
GBRCENW,1879,total,44.22
GBRCENW,1880,total,43.73
GBRCENW,1881,total,46.08
GBRCENW,1882,total,44.83
GBRCENW,1883,total,45.05
GBRCENW,1884,total,44.74
GBRCENW,1885,total,45.72
GBRCENW,1886,total,45.29
GBRCENW,1887,total,45.62
GBRCENW,1888,total,46.78
GBRCENW,1889,total,46.31
GBRCENW,1890,total,44.72
GBRCENW,1891,total,44.24
GBRCENW,1892,total,45.46
GBRCENW,1893,total,44.83
GBRCENW,1894,total,48.3
GBRCENW,1895,total,45.69
GBRCENW,1896,total,47.37
GBRCENW,1897,total,47.19
GBRCENW,1898,total,46.96
GBRCENW,1899,total,46.12
GBRCENW,1900,total,46.3
GBRCENW,1901,total,47.89
GBRCENW,1902,total,49.05
GBRCENW,1903,total,50.39
GBRCENW,1904,total,49.09
GBRCENW,1905,total,50.83
GBRCENW,1906,total,50.56
GBRCENW,1907,total,51.41
GBRCENW,1908,total,51.81
GBRCENW,1909,total,52.48
GBRCENW,1910,total,53.95
GBRCENW,1911,total,51.51
GBRCENW,1912,total,54.51
GBRCENW,1913,total,53.79
GBRCENW,1914,total,53.49
